;VehiID;DevIDNO;DateTime;Speed;Heading;lat;lon;geometry;sp_diff;dist;trjid;x;y;time;time_interval
32432;20;205130;2021-05-02 10:58:38;0.0;29;22.348281;114.198265;POINT (838471.4101516587 823242.2800675392);-21.0;19.210044815194703;78;838471.4101516587;823242.2800675392;39518;15.0
32433;20;205130;2021-05-02 10:58:53;4.0;101;22.348192;114.198272;POINT (838472.1326112207 823232.4247481471);4.0;9.881764424337394;78;838472.1326112207;823232.4247481471;39533;15.0
32434;20;205130;2021-05-02 10:59:08;9.0;308;22.348405;114.198081;POINT (838452.4547108378 823256.0085329601);5.0;30.71505607324551;78;838452.4547108378;823256.0085329601;39548;15.0
32435;20;205130;2021-05-02 10:59:23;21.0;344;22.348167;114.197891;POINT (838432.8868581165 823229.6508364643);12.0;32.82726038964617;78;838432.8868581165;823229.6508364643;39563;15.0
32436;20;205130;2021-05-02 10:59:38;32.0;88;22.348649;114.198997;POINT (838546.8061422193 823283.0414863524);11.0;125.81003452026982;78;838546.8061422193;823283.0414863524;39578;15.0
32437;20;205130;2021-05-02 10:59:53;12.0;16;22.349069;114.199813;POINT (838630.8535001527 823329.562815589);-20.0;96.06348135225896;78;838630.8535001527;823329.562815589;39593;15.0
32438;20;205130;2021-05-02 11:00:08;0.0;14;22.349077;114.199836;POINT (838633.2225396503 823330.4490578491);-12.0;2.5293820361215404;78;838633.2225396503;823330.4490578491;39608;15.0
32439;20;205130;2021-05-02 11:00:23;0.0;14;22.349077;114.199836;POINT (838633.2225396503 823330.4490578491);0.0;0.0;78;838633.2225396503;823330.4490578491;39623;15.0
32440;20;205130;2021-05-02 11:00:38;0.0;14;22.349077;114.199836;POINT (838633.2225396503 823330.4490578491);0.0;0.0;78;838633.2225396503;823330.4490578491;39638;15.0
32441;20;205130;2021-05-02 11:00:54;0.0;14;22.349079;114.199829;POINT (838632.5014527029 823330.6704179584);0.0;0.7542988026235035;78;838632.5014527029;823330.6704179584;39654;16.0
